id,name,input,compiler,threads,real,usr,sys,cores
1,ferret,simdev,gcc,1,0m0.023s,0m0.030s,0m0.005s,1
2,ferret,simsmall,gcc,1,0m0.395s,0m0.343s,0m0.017s,1
3,ferret,simmedium,gcc,1,0m1.470s,0m1.345s,0m0.052s,1
4,ferret,simlarge,gcc,1,0m6.867s,0m6.535s,0m0.145s,1
5,ferret,native,gcc,1,6m50.895,6m40.672,0m1.619s,1
6,ferret,simdev,gcc-pthreads,1,0m0.023s,0m0.030s,0m0.004s,1
7,ferret,simsmall,gcc-pthreads,1,0m0.425s,0m0.374s,0m0.013s,1
8,ferret,simmedium,gcc-pthreads,1,0m1.337s,0m1.232s,0m0.052s,1
9,ferret,simlarge,gcc-pthreads,1,0m6.560s,0m6.258s,0m0.123s,1
10,ferret,native,gcc-pthreads,1,7m0.039s,6m46.024,0m2.610s,1
11,ferret,simdev,gcc-pthreads,1,0m0.022s,0m0.026s,0m0.007s,2
12,ferret,simsmall,gcc-pthreads,1,0m0.294s,0m0.377s,0m0.011s,2
13,ferret,simmedium,gcc-pthreads,1,0m0.863s,0m1.250s,0m0.043s,2
14,ferret,simlarge,gcc-pthreads,1,0m3.542s,0m6.267s,0m0.157s,2
15,ferret,native,gcc-pthreads,1,5m3.100s,6m44.164,0m2.060s,2
16,ferret,simdev,gcc-pthreads,1,0m0.023s,0m0.025s,0m0.008s,3
17,ferret,simsmall,gcc-pthreads,1,0m0.270s,0m0.348s,0m0.018s,3
18,ferret,simmedium,gcc-pthreads,1,0m0.786s,0m1.262s,0m0.039s,3
19,ferret,simlarge,gcc-pthreads,1,0m3.215s,0m6.664s,0m0.116s,3
20,ferret,native,gcc-pthreads,1,5m0.363s,6m32.629,0m1.982s,3
21,ferret,simdev,gcc-pthreads,1,0m0.022s,0m0.028s,0m0.005s,4
22,ferret,simsmall,gcc-pthreads,1,0m0.261s,0m0.344s,0m0.016s,4
23,ferret,simmedium,gcc-pthreads,1,0m0.817s,0m1.338s,0m0.052s,4
24,ferret,simlarge,gcc-pthreads,1,0m2.861s,0m5.725s,0m0.131s,4
25,ferret,native,gcc-pthreads,1,5m4.725s,6m52.850,0m2.140s,4
26,ferret,simdev,gcc-pthreads,1,0m0.028s,0m0.026s,0m0.009s,5
27,ferret,simsmall,gcc-pthreads,1,0m0.273s,0m0.359s,0m0.018s,5
28,ferret,simmedium,gcc-pthreads,1,0m0.872s,0m1.309s,0m0.046s,5
29,ferret,simlarge,gcc-pthreads,1,0m3.241s,0m6.837s,0m0.119s,5
30,ferret,native,gcc-pthreads,1,4m52.729,6m23.197,0m2.604s,5
31,ferret,simdev,gcc-pthreads,1,0m0.022s,0m0.031s,0m0.002s,6
32,ferret,simsmall,gcc-pthreads,1,0m0.287s,0m0.372s,0m0.017s,6
33,ferret,simmedium,gcc-pthreads,1,0m0.739s,0m1.225s,0m0.045s,6
34,ferret,simlarge,gcc-pthreads,1,0m3.164s,0m6.409s,0m0.161s,6
35,ferret,native,gcc-pthreads,1,5m3.375s,6m43.599,0m2.509s,6
36,ferret,simdev,gcc-pthreads,1,0m0.022s,0m0.027s,0m0.006s,7
37,ferret,simsmall,gcc-pthreads,1,0m0.277s,0m0.363s,0m0.014s,7
38,ferret,simmedium,gcc-pthreads,1,0m0.815s,0m1.263s,0m0.052s,7
39,ferret,simlarge,gcc-pthreads,1,0m3.174s,0m6.989s,0m0.115s,7
40,ferret,native,gcc-pthreads,1,4m54.518,6m37.194,0m2.698s,7
41,ferret,simdev,gcc-pthreads,1,0m0.023s,0m0.029s,0m0.004s,8
42,ferret,simsmall,gcc-pthreads,1,0m0.264s,0m0.353s,0m0.014s,8
43,ferret,simmedium,gcc-pthreads,1,0m0.802s,0m1.308s,0m0.043s,8
44,ferret,simlarge,gcc-pthreads,1,0m3.161s,0m6.563s,0m0.102s,8
45,ferret,native,gcc-pthreads,1,5m7.109s,6m48.878,0m2.226s,8
46,ferret,simdev,gcc-pthreads,1,0m0.029s,0m0.028s,0m0.006s,9
47,ferret,simsmall,gcc-pthreads,1,0m0.280s,0m0.366s,0m0.019s,9
48,ferret,simmedium,gcc-pthreads,1,0m0.833s,0m1.374s,0m0.053s,9
49,ferret,simlarge,gcc-pthreads,1,0m3.067s,0m6.794s,0m0.121s,9
50,ferret,native,gcc-pthreads,1,4m53.987,6m26.823,0m2.326s,9
51,ferret,simdev,gcc-pthreads,1,0m0.022s,0m0.027s,0m0.007s,10
52,ferret,simsmall,gcc-pthreads,1,0m0.264s,0m0.349s,0m0.015s,10
53,ferret,simmedium,gcc-pthreads,1,0m0.771s,0m1.293s,0m0.041s,10
54,ferret,simlarge,gcc-pthreads,1,0m2.949s,0m5.989s,0m0.112s,10
55,ferret,native,gcc-pthreads,1,4m47.763,6m28.482,0m2.097s,10
56,ferret,simdev,gcc-pthreads,1,0m0.022s,0m0.028s,0m0.005s,11
57,ferret,simsmall,gcc-pthreads,1,0m0.257s,0m0.335s,0m0.020s,11
58,ferret,simmedium,gcc-pthreads,1,0m0.782s,0m1.293s,0m0.046s,11
59,ferret,simlarge,gcc-pthreads,1,0m2.986s,0m6.034s,0m0.114s,11
60,ferret,native,gcc-pthreads,1,5m0.796s,6m37.499,0m1.630s,11
61,ferret,simdev,gcc-pthreads,1,0m0.024s,0m0.029s,0m0.007s,12
62,ferret,simsmall,gcc-pthreads,1,0m0.261s,0m0.339s,0m0.022s,12
63,ferret,simmedium,gcc-pthreads,1,0m0.781s,0m1.245s,0m0.051s,12
64,ferret,simlarge,gcc-pthreads,1,0m3.010s,0m6.304s,0m0.138s,12
65,ferret,native,gcc-pthreads,1,5m4.155s,6m38.846,0m2.720s,12
66,ferret,simdev,gcc-pthreads,1,0m0.026s,0m0.029s,0m0.008s,13
